,,,,,,,,,,,,Tasting Notes,,,,,,,,,,,,,,,,,,,Adjective/Instensifiers,,,,,,,,,,Body,,
Name,Roaster,Process,Variety,Farm,Producer,Region,Country,Harvest_Start,Harvest_End,Elevation_Min,Elevation_Max,Floral,Citrus,Apple/Pear,Melon,Grape,Tropical Fruit,Stone Fruit,Berry,Dried Fruit,Chocolate,Sugary & Sweet,Nut,Grain & Cereal,Roast,Spice,Savory,Herb,Earthy,Vegetal,"Crisp, Bright, Vibrant, Tart","Muted, Dull, Mild","Wild, Unbalanced, Sharp, Pointed","Structured, Blanced, Rounded","Dense, Deep, Complex","Soft, Faint, Delicate",Juicy,"Dry, Astringent","Lingering, Dirty","Quick, Clean","Light (Watery, Tea-like, Silky, Slick, Juicy)","Medium (Smooth, 2% Milk, Syrupy, Round, Creamy)","Heavy (Full, Velvety, Big, Chewy, Coating)"
MONTEBLANCO BOURBON ROSA,Verve,Wet-Process,Burbon Rosa,,RODRIGO SANCHEZ,"ACEVEDO, HUILA",Columbia,11,1,1670,1780,0,7,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0
HUNAPU,Verve,Wet-Process,Burbon,Beneficio Bella Vista,Various Small Producers,ANTIGUA,GUATEMALA,11,3,1500,1800,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,10,0
EL LIMONCILLO YELLOW PACAMARA,Verve,Honey-Process,Yellow Pacamara,El Limoncillo,ERWIN MIERISCH,"YASICA NORTE, MATAGALPA",NICARAGUA,12,1,1200,1200,0,0,0,0,0,5,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,10,0
MERSHA ASSEFA,Verve,Wet-Process,Ethiopia Heirloom,Chelelektu,Various Small Producers,KOCHERE WOREDA,Ethiopia,11,1,1850,1950,10,0,0,0,0,0,10,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0
SANTA CLARA,Verve,Wet-Process,Burbon,Finca Santa Clara,RICARDO ZELAYA,ANTIGUA,GUATEMALA,12,4,1600,1850,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0
EL VENDAVAL,Verve,Wet-Process,Catuai,El Vendaval,FAMILIA CALDERON,"SANTA MARÍA, DOTA, TARRAZU",Costa Rica,12,4,1900,2100,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
SUMAVA ESPRESSO,Verve,Wet-Process,Caturra,Finca Sumava de Lourdes,Francisco Mena,Naranjo,Costa Rica,1,4,1670,1780,0,0,0,7,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0
LA HUERTA,Verve,Wet-Process,"Burbon, Caturra",Finca La Bolsa,RENARDO OVALLE,"LA LIBERTAD, HUEHUETENANGO",GUATEMALA,12,3,1400,1600,0,0,0,0,0,0,10,0,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,10,0
KII PEABERRY,Verve,Wet-Process,"SL28, SL24",Kii,RUNGETO FARMERS COOPERATIVE SOCIETY,KIRINYAGA,Kenya,11,3,1850,1950,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,10
