,Name,Variety,Value,Note,Note_Ind
0,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Floral,0
1,HUNAPU,Burbon,0.1,Floral,0
2,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Floral,0
3,MERSHA ASSEFA,Ethiopia Heirloom,10,Floral,0
4,SANTA CLARA,Burbon,10,Floral,0
5,EL VENDAVAL,Catuai,10,Floral,0
6,SUMAVA ESPRESSO,Caturra,0.1,Floral,0
7,LA HUERTA,"Burbon, Caturra",0.1,Floral,0
8,KII PEABERRY,"SL28, SL24",10,Floral,0
9,LUITO GESHA,Gesha,10,Floral,0
10,EVELIA MARIA HONEY GESHA,Gesha,10,Floral,0
11,ELIDA ESTATE GREEN TIP GESHA,Gesha,0.1,Floral,0
12,Meaza,Ethiopia Heirloom,7,Floral,0
13,Bella Aurora,Caturra,0.1,Floral,0
14,EL ESCOBERO AUCTION LOT,Caturra,0.1,Floral,0
15,Kilenso,Ethiopia Heirloom,10,Floral,0
16,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Floral,0
17,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Floral,0
18,David Mancia,"Pacas, Catimor",0.1,Floral,0
19,Benjamin Miranda,Pacas,0.1,Floral,0
20,Duncan Estate,Gesha,10,Floral,0
21,Addisu Kidane,Ethiopia Heirloom,0.1,Floral,0
22,Shilcho,Ethiopia Heirloom,10,Floral,0
23,Los Vascos,"Bourbon, caturra, catimor",0.1,Floral,0
24,MONTEBLANCO BOURBON ROSA,Burbon Rosa,7,Citrus,1
25,HUNAPU,Burbon,0.1,Citrus,1
26,EL LIMONCILLO YELLOW PACAMARA,Yellow Pacamara,0.1,Citrus,1
27,MERSHA ASSEFA,Ethiopia Heirloom,0.1,Citrus,1
28,SANTA CLARA,Burbon,0.1,Citrus,1
29,EL VENDAVAL,Catuai,0.1,Citrus,1
30,SUMAVA ESPRESSO,Caturra,0.1,Citrus,1
31,LA HUERTA,"Burbon, Caturra",0.1,Citrus,1
32,KII PEABERRY,"SL28, SL24",10,Citrus,1
33,LUITO GESHA,Gesha,0.1,Citrus,1
34,EVELIA MARIA HONEY GESHA,Gesha,0.1,Citrus,1
35,ELIDA ESTATE GREEN TIP GESHA,Gesha,10,Citrus,1
36,Meaza,Ethiopia Heirloom,0.1,Citrus,1
37,Bella Aurora,Caturra,7,Citrus,1
38,EL ESCOBERO AUCTION LOT,Caturra,0.1,Citrus,1
39,Kilenso,Ethiopia Heirloom,0.1,Citrus,1
40,Mr. David Mburu,"Ruiru 11, SL 28, SL 34",0.1,Citrus,1
41,Finca Las Terrazas,"San Ramon, Bourbon, Caturra",0.1,Citrus,1
42,David Mancia,"Pacas, Catimor",0.1,Citrus,1
43,Benjamin Miranda,Pacas,0.1,Citrus,1
44,Duncan Estate,Gesha,0.1,Citrus,1
45,Addisu Kidane,Ethiopia Heirloom,10,Citrus,1
46,Shilcho,Ethiopia Heirloom,0.1,Citrus,1
47,Los Vascos,"Bourbon, caturra, catimor",5,Citrus,1
48,MONTEBLANCO BOURBON ROSA,Burbon Rosa,0.1,Apple/Pear,2
49,HUNAPU,Burbon,10,Apple/Pear,2
